District_Name,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-01
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-02
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-03
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-04
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-05
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-06
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-07
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-08
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-09
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-10
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-11
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-12
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-13
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-14
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-15
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-16
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-17
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-18
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-19
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-20
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-21
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-22
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-23
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-24
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-25
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-26
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-27
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-28
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-01-29
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-30
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-01-31
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-01
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-02
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-03
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-04
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-05
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-06
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-07
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-08
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-09
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-10
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-11
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-12
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-13
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-14
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-15
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-16
Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-02-17
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-18
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-19
Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-02-20
